,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,dependent_project_count,github_dependent_project_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
0,bibtex,bibtex,shyamd/mkdocs-bibtex,mkdocs-bibtex,['plugin'],BSD-3-Clause-LBNL,links-refs,https://github.com/shyamd/mkdocs-bibtex,https://github.com/shyamd/mkdocs-bibtex,2019-05-29 04:43:44,2025-11-01 14:02:27.000000,2025-11-01 14:02:19,450.0,31.0,283.0,6.0,53.0,92.0,2025-07-01 14:57:13,4.4.0,81.0,A MkDocs plugin for citation management using bibtex.,21.0,https://pypi.org/project/mkdocs-bibtex,47753.0,47753.0,17,True,1.0,,,,,,,,,,,,,,,
1,Material for MkDocs,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",,theming,,{},,,,,,,,,,,,,,334.0,https://pypi.org/project/mkdocs-material,13675220.0,13675220.0,17,True,1.0,material,{'plugins.social': 'mkdocs-material[imaging]'},93841.0,93841.0,,,,,,,,,,,
2,mkdocs-versioning,mkdocs-versioning,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],MIT,site-management,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,2019-07-20 18:09:56,2021-08-01 15:51:53.000000,2021-08-01 15:51:53,133.0,5.0,39.0,3.0,22.0,40.0,2021-02-11 10:24:03,0.4.0,2.0,A tool that allows for versioning sites built with mkdocs.,5.0,https://pypi.org/project/mkdocs-versioning,6218.0,6218.0,16,True,1.0,,,183.0,183.0,1.0,,,,,,,,,,
3,mkdocstrings,mkdocstrings,mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],,api-docs,,{},,,,,,,,,,,,,,55.0,https://pypi.org/project/mkdocstrings,6992464.0,6992464.0,15,True,1.0,,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",30596.0,30596.0,,,,,,,,,,,
4,macros,macros,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],MIT,code-exec-templating,,{},,,,,,,,,,,,,,36.0,https://pypi.org/project/mkdocs-macros-plugin,2097567.0,2097567.0,15,True,1.0,,,7204.0,7204.0,,,,,,,,,,,
5,drawio-exporter,drawio-exporter,LukeCarrier/mkdocs-drawio-exporter,mkdocs-drawio-exporter,['plugin'],MIT,charts,https://github.com/LukeCarrier/mkdocs-drawio-exporter,https://github.com/LukeCarrier/mkdocs-drawio-exporter,2019-09-10 21:59:11,2025-05-25 00:30:10.000000,2025-05-25 00:30:09,127.0,9.0,51.0,5.0,30.0,85.0,2025-04-22 22:38:06,0.10.2,15.0,Exports your Draw.io diagrams at build time for easier embedding into your documentation.,5.0,https://pypi.org/project/mkdocs-drawio-exporter,8249.0,8249.0,14,True,1.0,,,,,1.0,,,,,,,,,,
6,git-revision-date-localized,git-revision-date-localized,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,1208822.0,1208822.0,13,True,1.0,,,13133.0,13133.0,,,,,,,,,,,
7,mkdocs-site-urls,site-urls,OctoPrint/mkdocs-site-urls,mkdocs-site-urls,['plugin'],MIT,links-refs,https://github.com/OctoPrint/mkdocs-site-urls,https://github.com/OctoPrint/mkdocs-site-urls,2023-07-28 11:55:04,2026-03-04 15:30:02.000000,2026-03-04 15:29:44,27.0,4.0,1.0,,5.0,24.0,2025-09-04 08:39:24,0.3.1,4.0,A MkDocs plugin that adds support for site-relative `site:` URLs.,2.0,https://pypi.org/project/mkdocs-site-urls,8841.0,8841.0,12,True,1.0,,,,,1.0,,,,,,,,,,
8,mermaid2,mermaid2,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,842082.0,842082.0,12,True,1.0,,,3992.0,3992.0,,,,,,,,,,,
9,MkDocs GLightbox,glightbox,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],,charts,,{},,,,,,,,,,,,,,9.0,https://pypi.org/project/mkdocs-glightbox,1123183.0,1123183.0,12,True,1.0,,,6517.0,6517.0,,,,,,,,,,,
