,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
32,mkdocs-with-pdf,,with-pdf,,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],site-conversion,{},931.0,931.0,6.0,https://pypi.org/project/mkdocs-with-pdf,295738.0,295738.0,,10,True,1.0,,,,,,,,,,,,,,,,,,
33,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},367.0,367.0,8.0,https://pypi.org/project/mkdocs-windmill,7454.0,7454.0,,9,True,1.0,,MIT,,,,,,,,,,,,,,,,
34,Bootswatch,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],theming,{},1274.0,1274.0,10.0,https://pypi.org/project/mkdocs-bootswatch,18225.0,18225.0,,9,True,1.0,,,,,,,,,,,,,,,,,,
35,panzoom,,panzoom,,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],charts,{},81.0,81.0,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,1036987.0,1036987.0,,9,True,2.0,,,,,,,,,,,,,,,,,,
36,MkDocs Swagger UI Tag,,swagger-ui-tag,,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,{},452.0,452.0,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,293170.0,293170.0,,9,True,1.0,,,,,,,,,,,,,,,,,,
37,mkdocs-llmstxt,,llmstxt,,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],integrations,{},673.0,673.0,5.0,https://pypi.org/project/mkdocs-llmstxt,415639.0,415639.0,,9,True,1.0,,,,,,,,,,,,,,,,,,
38,htmlproofer,,htmlproofer,,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],links-refs,{},747.0,747.0,16.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,94852.0,94852.0,,9,True,1.0,,,,,,,,,,,,,,,,,,
39,link-marker,,link-marker,,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-link-marker,874858.0,874858.0,,9,True,1.0,,,,,,,,,,,,,,,,,,
40,encryptcontent,,encryptcontent,,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],nav-pages,{},1275.0,1275.0,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,27948.0,27948.0,,9,True,2.0,,,,,,,,,,,,,,,,,,
41,pdf-export,,pdf-export,,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],site-conversion,{},1536.0,1536.0,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,36081.0,36081.0,,9,True,1.0,,,,,,,,,,,,,,,,,,
42,mkdocs-multirepo-plugin,,multirepo,,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],site-management,{},263.0,263.0,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,66759.0,66759.0,,9,True,2.0,,,,,,,,,,,,,,,,,,
43,same-dir,,same-dir,,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],site-management,{},572.0,572.0,3.0,https://pypi.org/project/mkdocs-same-dir,138256.0,138256.0,,9,True,2.0,,,,,,,,,,,,,,,,,,
44,mkdocs-embed-external-markdown,,external-markdown,,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],snippets-include,{},177.0,177.0,7.0,https://pypi.org/project/mkdocs-embed-external-markdown,8170.0,8170.0,,9,True,2.0,,MIT,,,,,,,,,,,,,,,,
45,meta-descriptions,,meta-descriptions,,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],snippets-include,{},1280.0,1280.0,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,18538.0,18538.0,,9,True,2.0,,,,,,,,,,,,,,,,,,
46,GitBook,gitbook,,,,mkdocs-gitbook,['theme'],theming,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,https://pypi.org/project/mkdocs-gitbook,17134.0,17134.0,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,8,True,2.0,,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme,2018-12-17 18:29:14,15.0,9.0,10.0,30.0,0.0,2018-12-17 18:29:14.000000,,,,,,
47,Bootstrap,bootstrap,,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],theming,{},523.0,523.0,6.0,https://pypi.org/project/mkdocs-bootstrap,18072.0,18072.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
48,MkApi,,mkapi,,daizutabi/mkapi,mkapi,['plugin'],api-docs,{},271.0,271.0,6.0,https://pypi.org/project/mkapi,12358.0,12358.0,,8,True,1.0,,,,,,,,,,,,,,,,,,
49,mkdoxy,,mkdoxy,,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],api-docs,{},75.0,75.0,18.0,https://pypi.org/project/mkdoxy,62641.0,62641.0,,8,True,1.0,,,,,,,,,,,,,,,,,,
50,mkdocstrings-python,,,,mkdocstrings/python,mkdocstrings-python,,api-docs,{},,,31.0,https://pypi.org/project/mkdocstrings-python,11946739.0,11946739.0,,8,True,1.0,,,,,,,,,,,,,,,,,,
51,mkdocs-blogging-plugin,,blogging,,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,{},321.0,321.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,8780.0,8780.0,,8,True,1.0,,,,,,,,,,,,,,,,,,
52,kroki,,kroki,,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],charts,{},93.0,93.0,19.0,https://pypi.org/project/mkdocs-kroki-plugin,80809.0,80809.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
53,mkdocs-diagrams,,diagrams,,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],charts,{},86.0,86.0,,https://pypi.org/project/mkdocs-diagrams,88404.0,88404.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
54,mknotebooks,,mknotebooks,,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,{},803.0,803.0,14.0,https://pypi.org/project/mknotebooks,49973.0,49973.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
55,meta-manager,,meta-manager,,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],code-exec-templating,{},22.0,22.0,3.0,https://pypi.org/project/mkdocs-meta-manager,884788.0,884788.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
56,mkdocs-marimo,,marimo,,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},14.0,14.0,8.0,https://pypi.org/project/mkdocs-marimo,8124.0,8124.0,,8,True,2.0,,Apache-2,,,,,,,,,,,,,,,,
57,git-committers,,git-committers,,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,{},355.0,355.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin,20597.0,20597.0,,8,True,2.0,,,,,,,,,,,,,['mkdocs_plugin'],,,,,
58,enumerate-headings,,enumerate-headings,,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,{},398.0,398.0,6.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,47636.0,47636.0,,8,True,1.0,,,,,,,,,,,,,,,,,,
59,mkdocs-coverage,,coverage,,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],integrations,{},371.0,371.0,2.0,https://pypi.org/project/mkdocs-coverage,76641.0,76641.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
60,autolinks,,autolinks,,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],links-refs,{},736.0,736.0,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,56119.0,56119.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
61,mkdocs-open-in-new-tab,,open-in-new-tab,,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],links-refs,{},734.0,734.0,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,175147.0,175147.0,,8,True,2.0,,,,,,,,,,,,,,,,,,
62,markdown-callouts,,,,oprypin/markdown-callouts,markdown-callouts,['markdown'],markdown,{},770.0,770.0,2.0,https://pypi.org/project/markdown-callouts,114606.0,114606.0,,8,True,2.0,"['callouts', 'github-callouts']",,,,,,,,,,,,,,,,,
63,mkdocs-spellcheck,,spellcheck,,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],quality,{},89.0,89.0,7.0,https://pypi.org/project/mkdocs-spellcheck,100251.0,100251.0,,8,True,1.0,,,,,,,,,,,,,,,,,,
64,codeinclude,,codeinclude,,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],snippets-include,{},202.0,202.0,5.0,https://pypi.org/project/mkdocs-codeinclude-plugin,51224.0,51224.0,A plugin to include code snippets into mkdocs pages.,8,True,3.0,,,,,,,,,,,,,,,,,,
65,markdown-katex,,,,,markdown-katex,['markdown'],markdown,https://gitlab.com/mbarkhau/markdown-katex,,,,https://pypi.org/project/markdown-katex,19525.0,19525.0,KaTeX extension for Python Markdown.,7,True,2.0,markdown_katex,,,mbarkhau/markdown-katex,https://gitlab.com/mbarkhau/markdown-katex,2019-05-14 07:53:31,4.0,4.0,13.0,11.0,0.0,2019-05-14 07:53:31.000000,,,,,,
66,MkDocs Graphviz,,,,,mkdocs-graphviz,['markdown'],charts,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,https://pypi.org/project/mkdocs-graphviz,14008.0,14008.0,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",7,True,2.0,mkdocs_graphviz,,1.0,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,1.0,6.0,5.0,6.0,5.0,2021-05-03 14:28:32.000000,,,,,,
67,Dracula,dracula,,,dracula/mkdocs,mkdocs-dracula-theme,['theme'],theming,{},155.0,155.0,5.0,https://pypi.org/project/mkdocs-dracula-theme,8514.0,8514.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
