,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,dependent_project_count,github_dependent_project_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
31,git-committers-2,git-committers,ojacques/mkdocs-git-committers-plugin-2,mkdocs-git-committers-plugin-2,['plugin'],,git-info,,{},,,,,,,,,,,,,An MkDocs plugin to create a list of contributors on the page.,19.0,https://pypi.org/project/mkdocs-git-committers-plugin-2,98730.0,98730.0,10,True,1.0,,,1652.0,1652.0,,,,,,,,,,,
32,mkdocs-callouts,callouts,sondregronas/mkdocs-callouts,mkdocs-callouts,['plugin'],,markdown,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-callouts,60449.0,60449.0,10,True,1.0,,,1458.0,1458.0,,,,,,,,,,,
33,exclude,exclude,apenwarr/mkdocs-exclude,mkdocs-exclude,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-exclude,232264.0,232264.0,10,True,1.0,,,3227.0,3227.0,,,,,,,,,,,
34,awesome-nav,awesome-nav,lukasgeiter/mkdocs-awesome-nav,mkdocs-awesome-nav,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,12.0,https://pypi.org/project/mkdocs-awesome-nav,1227558.0,1227558.0,10,True,1.0,,,727.0,727.0,,,,,,,,,,,
35,mkdocs-simple-hooks,mkdocs-simple-hooks,aklajnert/mkdocs-simple-hooks,mkdocs-simple-hooks,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-simple-hooks,62189.0,62189.0,10,True,1.0,,,2342.0,2342.0,,,,,,,,,,,
36,mkdocs-with-pdf,with-pdf,orzih/mkdocs-with-pdf,mkdocs-with-pdf,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-with-pdf,247686.0,247686.0,10,True,1.0,,,936.0,936.0,,,,,,,,,,,
37,Windmill,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],MIT,theming,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-windmill,6178.0,6178.0,9,True,1.0,windmill,,367.0,367.0,,,,,,,,,,,
38,Bootswatch,,mkdocs/mkdocs-bootswatch,mkdocs-bootswatch,['theme'],,theming,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-bootswatch,16961.0,16961.0,9,True,1.0,"['cerulean', 'cosmo', 'cyborg', 'darkly', 'flatly', 'journal', 'litera', 'lumen', 'lux', 'materia', 'minty', 'pulse', 'sandstone', 'simplex', 'slate', 'solar', 'spacelab', 'superhero', 'united', 'yeti']",,1275.0,1275.0,,,,,,,,,,,
39,MkDocsOAD,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",,api-docs,,{},,,,,,,,,,,,,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,13.0,https://pypi.org/project/neoteroi-mkdocs,134323.0,134323.0,9,True,1.0,,,533.0,533.0,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,,,,,,,,
40,panzoom,panzoom,PLAYG0N/mkdocs-panzoom,mkdocs-panzoom-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-panzoom-plugin,1123169.0,1123169.0,9,True,2.0,,,82.0,82.0,,,,,,,,,,,
41,MkDocs Swagger UI Tag,swagger-ui-tag,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],,integrations,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,258776.0,258776.0,9,True,1.0,,,457.0,457.0,,,,,,,,,,,
42,mkdocs-llmstxt,llmstxt,pawamoy/mkdocs-llmstxt,mkdocs-llmstxt,['plugin'],,integrations,,{},,,,,,,,,,,,,,5.0,https://pypi.org/project/mkdocs-llmstxt,313653.0,313653.0,9,True,1.0,,,689.0,689.0,,,,,,,,,,,
43,htmlproofer,htmlproofer,manuzhang/mkdocs-htmlproofer-plugin,mkdocs-htmlproofer-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,16.0,https://pypi.org/project/mkdocs-htmlproofer-plugin,79778.0,79778.0,9,True,2.0,,,754.0,754.0,,,,,,,,,,,
44,link-marker,link-marker,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],,links-refs,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-link-marker,971631.0,971631.0,9,True,2.0,,,54.0,54.0,,,,,,,,,,,
45,encryptcontent,encryptcontent,unverbuggt/mkdocs-encryptcontent-plugin,mkdocs-encryptcontent-plugin,['plugin'],,nav-pages,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-encryptcontent-plugin,18820.0,18820.0,9,True,2.0,,,1275.0,1275.0,,,,,,,,,,,
46,pdf-export,pdf-export,zhaoterryy/mkdocs-pdf-export-plugin,mkdocs-pdf-export-plugin,['plugin'],,site-conversion,,{},,,,,,,,,,,,,,12.0,https://pypi.org/project/mkdocs-pdf-export-plugin,31486.0,31486.0,9,True,1.0,,,1537.0,1537.0,,,,,,,,,,,
47,mkdocs-multirepo-plugin,multirepo,jdoiro3/mkdocs-multirepo-plugin,mkdocs-multirepo-plugin,['plugin'],,site-management,,{},,,,,,,,,,,,,,17.0,https://pypi.org/project/mkdocs-multirepo-plugin,61889.0,61889.0,9,True,2.0,,,263.0,263.0,,,,,,,,,,,
48,same-dir,same-dir,oprypin/mkdocs-same-dir,mkdocs-same-dir,['plugin'],,site-management,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-same-dir,139559.0,139559.0,9,True,2.0,,,577.0,577.0,,,,,,,,,,,
49,meta-descriptions,meta-descriptions,prcr/mkdocs-meta-descriptions-plugin,mkdocs-meta-descriptions-plugin,['plugin'],,snippets-include,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-meta-descriptions-plugin,18080.0,18080.0,9,True,2.0,,,1280.0,1280.0,,,,,,,,,,,
50,GitBook,,,mkdocs-gitbook,['theme'],,theming,,https://gitlab.com/lramage/mkdocs-gitbook-theme,2018-12-17 18:29:14,2018-12-17 18:29:14.000000,,,15.0,,9.0,10.0,30.0,,,0.0,Default theme for GitBook for Mkdocs https://lramage.gitlab.io/mkdocs-gitbook-theme.,,https://pypi.org/project/mkdocs-gitbook,21340.0,21340.0,8,True,2.0,gitbook,,,,,,,lramage/mkdocs-gitbook-theme,https://gitlab.com/lramage/mkdocs-gitbook-theme,,,,,,
51,Bootstrap,,mkdocs/mkdocs-bootstrap,mkdocs-bootstrap,['theme'],,theming,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-bootstrap,19825.0,19825.0,8,True,2.0,bootstrap,,523.0,523.0,,,,,,,,,,,
52,mkdocstrings-python,,mkdocstrings/python,mkdocstrings-python,,,api-docs,,{},,,,,,,,,,,,,,31.0,https://pypi.org/project/mkdocstrings-python,9832080.0,9832080.0,8,True,2.0,,,,,,,,,,,,,,,
53,mkdocs-api-autonav,api-autonav,tlambert03/mkdocs-api-autonav,mkdocs-api-autonav,['plugin'],,api-docs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-api-autonav,108817.0,108817.0,8,True,2.0,,,326.0,326.0,,,,,,,,,,,
54,mkdocs-blogging-plugin,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],,blogging,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-blogging-plugin,10052.0,10052.0,8,True,1.0,,,322.0,322.0,,,,,,,,,,,
55,kroki,kroki,AVATEAM-IT-SYSTEMHAUS/mkdocs-kroki-plugin,mkdocs-kroki-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,19.0,https://pypi.org/project/mkdocs-kroki-plugin,73977.0,73977.0,8,True,2.0,,,94.0,94.0,,,,,,,,,,,
56,mkdocs-diagrams,diagrams,zoni/mkdocs-diagrams,mkdocs-diagrams,['plugin'],,charts,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-diagrams,75506.0,75506.0,8,True,2.0,,,87.0,87.0,,,,,,,,,,,
57,mknotebooks,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,14.0,https://pypi.org/project/mknotebooks,54354.0,54354.0,8,True,2.0,,,808.0,808.0,,,,,,,,,,,
58,meta-manager,meta-manager,timmeinerzhagen/mkdocs-meta-manager,mkdocs-meta-manager,['plugin'],,code-exec-templating,,{},,,,,,,,,,,,,,3.0,https://pypi.org/project/mkdocs-meta-manager,980700.0,980700.0,8,True,2.0,,,22.0,22.0,,,,,,,,,,,
59,git-committers,git-committers,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],,git-info,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-git-committers-plugin,22526.0,22526.0,8,True,2.0,,,357.0,357.0,,,,,,['mkdocs_plugin'],,,,,
60,enumerate-headings,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,35540.0,35540.0,8,True,1.0,,,399.0,399.0,,,,,,,,,,,
61,mkdocs-coverage,coverage,pawamoy/mkdocs-coverage,mkdocs-coverage,['plugin'],,integrations,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-coverage,63491.0,63491.0,8,True,2.0,,,378.0,378.0,,,,,,,,,,,
62,autolinks,autolinks,zachhannum/mkdocs-autolinks-plugin,mkdocs-autolinks-plugin,['plugin'],,links-refs,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-autolinks-plugin,51894.0,51894.0,8,True,2.0,,,737.0,737.0,,,,,,,,,,,
63,mkdocs-open-in-new-tab,open-in-new-tab,JakubAndrysek/mkdocs-open-in-new-tab,mkdocs-open-in-new-tab,['plugin'],,links-refs,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/mkdocs-open-in-new-tab,146054.0,146054.0,8,True,2.0,,,740.0,740.0,,,,,,,,,,,
64,mkdocs-spellcheck,spellcheck,pawamoy/mkdocs-spellcheck,mkdocs-spellcheck,['plugin'],,quality,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-spellcheck,85643.0,85643.0,8,True,1.0,,,89.0,89.0,,,,,,,,,,,
65,mkdocs-embed-external-markdown,external-markdown,fire1ce/mkdocs-embed-external-markdown,mkdocs-embed-external-markdown,['plugin'],MIT,snippets-include,,{},,,,,,,,,,,,,,7.0,https://pypi.org/project/mkdocs-embed-external-markdown,7763.0,7763.0,8,True,2.0,,,177.0,177.0,,,,,,,,,,,
66,codeinclude,codeinclude,rnorth/mkdocs-codeinclude-plugin,mkdocs-codeinclude-plugin,['plugin'],,snippets-include,,{},,,,,,,,,,,,,A plugin to include code snippets into mkdocs pages.,5.0,https://pypi.org/project/mkdocs-codeinclude-plugin,46165.0,46165.0,8,True,2.0,,,204.0,204.0,,,,,,,,,,,
67,MkDocs Img2Fig Plugin,img2fig,stuebersystems/mkdocs-img2fig-plugin,mkdocs-img2fig-plugin,['plugin'],MIT,charts,https://github.com/stuebersystems/mkdocs-img2fig-plugin,https://github.com/stuebersystems/mkdocs-img2fig-plugin,2019-05-09 09:48:11,2022-04-15 06:05:55.000000,2020-07-14 09:36:02,8.0,6.0,3.0,2.0,1.0,23.0,,,,A MkDocs plugin that converts markdown encoded images into figure elements.,2.0,https://pypi.org/project/mkdocs-img2fig-plugin,3757.0,3757.0,7,True,2.0,,,,,1.0,,,,,,,,,,
68,markdown-katex,,,markdown-katex,['markdown'],,markdown,,https://gitlab.com/mbarkhau/markdown-katex,2019-05-14 07:53:31,2019-05-14 07:53:31.000000,,,4.0,,4.0,13.0,11.0,,,0.0,KaTeX extension for Python Markdown.,,https://pypi.org/project/markdown-katex,17233.0,17233.0,7,True,2.0,,,,,,markdown_katex,,mbarkhau/markdown-katex,https://gitlab.com/mbarkhau/markdown-katex,,,,,,
69,MkDocs Graphviz,,,mkdocs-graphviz,['markdown'],,charts,,https://gitlab.com/rod2ik/mkdocs-graphviz,2021-05-03 14:28:32,2021-05-03 14:28:32.000000,,,1.0,,6.0,5.0,6.0,,,5.0,"A mkdocs Extension that automatically renders Graphviz images, in SVG or PNG format, within your markdown file.",,https://pypi.org/project/mkdocs-graphviz,12748.0,12748.0,7,True,2.0,,,,,,mkdocs_graphviz,1.0,rod2ik/mkdocs-graphviz,https://gitlab.com/rod2ik/mkdocs-graphviz,,,,,,
70,Shadcn,"['shadcn/search', 'shadcn/excalidraw']",asiffer/mkdocs-shadcn,mkdocs-shadcn,"['theme', 'plugin']",,theming,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-shadcn,33842.0,33842.0,7,True,2.0,shadcn,,96.0,96.0,,,,,,,,,,,
