,name,markdown_extension,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_plugin,license,trending,extra_dependencies,mkdocs_theme,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
91,mkdocs-d2-plugin,,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,{},37.0,37.0,4.0,https://pypi.org/project/mkdocs-d2-plugin,32136.0,32136.0,,6,True,2.0,d2,,,,,,,,,,,,,,,,,,,
92,user-defined-values,,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,{},15.0,15.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,671.0,671.0,,6,True,2.0,user-defined-values,MIT,,,,,,,,,,,,,,,,,,
93,Entangled,,entangled/mkdocs-plugin,mkdocs-entangled-plugin,['plugin'],code-exec-templating,{},14.0,14.0,,https://pypi.org/project/mkdocs-entangled-plugin,18948.0,18948.0,,6,True,2.0,entangled,,,,,,,,,,,,,,,,,,,
94,placeholder,,six-two/mkdocs-placeholder-plugin,mkdocs-placeholder-plugin,['plugin'],code-exec-templating,{},20.0,20.0,3.0,https://pypi.org/project/mkdocs-placeholder-plugin,18814.0,18814.0,,6,True,2.0,placeholder,,,,,,,,,,,,,,,,,,,
95,add-number,,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,6717.0,6717.0,,6,True,2.0,add-number,,,,,,,,,,,,,,,,,,,
96,Publisher for MkDocs - social,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5691.0,5691.0,Social media sharing helper.,6,True,2.0,pub-social,,,,,,,,,,,,,,,,,,,
97,Publisher for MkDocs - minifier,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],html-css,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5691.0,5691.0,"Size optimization (minification) for HTML, CSS, JS, SVG, PNG and JPEG files.",6,True,2.0,pub-minifier,,,,,,,,,,,,,,,,,,,
98,Publisher for MkDocs - obsidian,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],integrations,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5691.0,5691.0,"Obsidian.md integration including with support for wiki links, callouts, backlinks etc.",6,True,2.0,pub-obsidian,,,,,,,,,,,,,,,,,,,
99,link-marker,,timmeinerzhagen/mkdocs-link-marker,mkdocs-link-marker,['plugin'],links-refs,{},,,3.0,https://pypi.org/project/mkdocs-link-marker,942503.0,942503.0,,6,True,2.0,link-marker,,,,,,,,,,,,,,,,,,,
100,Mdx Truly Sane Lists,mdx_truly_sane_lists,radude/mdx_truly_sane_lists,mdx-truly-sane-lists,['markdown'],markdown,{},,,4.0,https://pypi.org/project/mdx-truly-sane-lists,1371980.0,1371980.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
101,YAML metadata,full_yaml_metadata,sivakov512/python-markdown-full-yaml-metadata,markdown-full-yaml-metadata,['markdown'],markdown,{},96.0,96.0,7.0,https://pypi.org/project/markdown-full-yaml-metadata,1879.0,1879.0,,6,True,2.0,,,,,,,,,,,,,,,,,,,,
102,section-index,,oprypin/mkdocs-section-index,mkdocs-section-index,['plugin'],nav-pages,{},,,3.0,https://pypi.org/project/mkdocs-section-index,1598323.0,1598323.0,,6,True,2.0,section-index,,,,,,,,,,,,,,,,,,,
103,Publisher for MkDocs - meta,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],nav-pages,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5691.0,5691.0,Automatic navigation based on files metadata with URL name and publication status control.,6,True,2.0,pub-meta,,,,,,,,,,,,,,,,,,,
104,localsearch,,wilhelmer/mkdocs-localsearch,mkdocs-localsearch,['plugin'],search-toc,{},107.0,107.0,6.0,https://pypi.org/project/mkdocs-localsearch,6473.0,6473.0,,6,True,1.0,localsearch,,,,,,,,,,,,,,,,,,,
105,mkpdfs,,comwes/mkpdfs-mkdocs-plugin,mkpdfs-mkdocs,['plugin'],site-conversion,{},66.0,66.0,9.0,https://pypi.org/project/mkpdfs-mkdocs,1097.0,1097.0,,6,True,2.0,mkpdfs,,,,,,,,,,,,,,,,,,,
106,Publisher for MkDocs - debugger,,mkdocs-publisher/mkdocs-publisher,mkdocs-publisher,['plugin'],site-management,{},101.0,101.0,4.0,https://pypi.org/project/mkdocs-publisher,5691.0,5691.0,Advanced console and file logger from build and serve process.,6,True,2.0,pub-debugger,,,,,,,,,,,,,,,,,,,
107,Markdown Grid Tables,markdown_grid_tables,,markdown-grid-tables,['markdown'],markdown,https://gitlab.com/WillDaSilva/markdown_grid_tables,,,,https://pypi.org/project/markdown-grid-tables,59526.0,59526.0,[Python-Markdown](https://python-markdown.github.io/) [extension](https://python-markdown.github.io/extensions/api/)..,5,True,2.0,,,,,,WillDaSilva/markdown_grid_tables,https://gitlab.com/WillDaSilva/markdown_grid_tables,2022-02-09 02:39:55,7.0,3.0,1.0,1.0,0.0,2022-02-09 02:39:55.000000,,,,,,
108,Simple Blog,,FernandoCelmer/mkdocs-simple-blog,mkdocs-simple-blog,['theme'],theming,{},97.0,97.0,5.0,https://pypi.org/project/mkdocs-simple-blog,1000.0,1000.0,,5,True,2.0,,,,,simple-blog,,,,,,,,,,,,,,,
109,MkAutoDoc,mkautodoc,tomchristie/mkautodoc,mkautodoc,['markdown'],api-docs,{},,,7.0,https://pypi.org/project/mkautodoc,22083.0,22083.0,,5,True,2.0,,BSD,,,,,,,,,,,,,,,,,,
110,mkdocstrings-shell,,mkdocstrings/shell,,,api-docs,{},75.0,75.0,,,,,,5,True,2.0,,ISC,,,,,,,,,,,,,,,,,,
111,rss,,Guts/mkdocs-rss-plugin,mkdocs-rss-plugin,['plugin'],blogging,{},,,20.0,https://pypi.org/project/mkdocs-rss-plugin,298944.0,298944.0,,5,True,3.0,rss,,,,,,,,,,,,,,,,,,,
112,newsletter,,lyz-code/mkdocs-newsletter,mkdocs-newsletter,['plugin'],blogging,{},81.0,81.0,3.0,https://pypi.org/project/mkdocs-newsletter,161.0,161.0,,5,True,3.0,mkdocs-newsletter,,,,,,,,,,,,,,,,,,,
