,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
0,Material for MkDocs,material,"['material/blog', 'material/group', 'material/offline', 'material/search', 'material/social', 'material/tags']",{'plugins.social': 'mkdocs-material[imaging]'},squidfunk/mkdocs-material,mkdocs-material,"['theme', 'plugin']",theming,{},91770.0,91770.0,332.0,https://pypi.org/project/mkdocs-material,17661254.0,17661254.0,,17,True,1.0,,,,,,,,,,,,,,,,,,
1,PyMdown Extensions,,,,facelessuser/pymdown-extensions,pymdown-extensions,['markdown'],markdown,{},62551.0,62551.0,56.0,https://pypi.org/project/pymdown-extensions,25838372.0,25838372.0,,16,True,1.0,"['pymdownx.arithmatex', 'pymdownx.b64', 'pymdownx.betterem', 'pymdownx.blocks.admonition', 'pymdownx.blocks.definition', 'pymdownx.blocks.details', 'pymdownx.blocks.html', 'pymdownx.blocks.tab', 'pymdownx.caret', 'pymdownx.critic', 'pymdownx.details', 'pymdownx.emoji', 'pymdownx.escapeall', 'pymdownx.extra', 'pymdownx.highlight', 'pymdownx.inlinehilite', 'pymdownx.keys', 'pymdownx.magiclink', 'pymdownx.mark', 'pymdownx.pathconverter', 'pymdownx.progressbar', 'pymdownx.saneheaders', 'pymdownx.smartsymbols', 'pymdownx.snippets', 'pymdownx.striphtml', 'pymdownx.superfences', 'pymdownx.tabbed', 'pymdownx.tasklist', 'pymdownx.tilde']",,,,,,,,,,,,,,,,,
2,mkdocstrings,,mkdocstrings,"{'plugins.mkdocstrings.handlers.crystal': 'mkdocstrings-crystal', 'plugins.mkdocstrings.handlers.python': 'mkdocstrings-python'}",mkdocstrings/mkdocstrings,mkdocstrings,['plugin'],api-docs,{},29703.0,29703.0,55.0,https://pypi.org/project/mkdocstrings,8318111.0,8318111.0,,15,True,1.0,,,,,,,,,,,,,,,,,,
3,macros,,macros,,fralau/mkdocs_macros_plugin,mkdocs-macros-plugin,['plugin'],code-exec-templating,{},7125.0,7125.0,36.0,https://pypi.org/project/mkdocs-macros-plugin,2361344.0,2361344.0,,15,True,1.0,,MIT,,,,,,,,,,,,,,,,
4,mkdocs-jupyter,,mkdocs-jupyter,,danielfrg/mkdocs-jupyter,mkdocs-jupyter,['plugin'],code-exec-templating,{},5336.0,5336.0,39.0,https://pypi.org/project/mkdocs-jupyter,473071.0,473071.0,,13,True,1.0,,,,,,,,,,,,,,,,,,
5,git-revision-date-localized,,git-revision-date-localized,,timvink/mkdocs-git-revision-date-localized-plugin,mkdocs-git-revision-date-localized-plugin,['plugin'],git-info,{},12867.0,12867.0,43.0,https://pypi.org/project/mkdocs-git-revision-date-localized-plugin,1590511.0,1590511.0,,13,True,1.0,,,,,,,,,,,,,,,,,,
6,mermaid2,,mermaid2,,fralau/mkdocs-mermaid2-plugin,mkdocs-mermaid2-plugin,['plugin'],charts,{},3956.0,3956.0,17.0,https://pypi.org/project/mkdocs-mermaid2-plugin,1007329.0,1007329.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
7,MkDocs GLightbox,,glightbox,,blueswen/mkdocs-glightbox,mkdocs-glightbox,['plugin'],charts,{},6401.0,6401.0,9.0,https://pypi.org/project/mkdocs-glightbox,1421789.0,1421789.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
8,plantuml-markdown,,,,mikitex70/plantuml-markdown,plantuml-markdown,['markdown'],charts,{},1833.0,1833.0,30.0,https://pypi.org/project/plantuml-markdown,939031.0,939031.0,,12,True,1.0,plantuml_markdown,,,,,,,,,,,,,,,,,
9,gen-files,,gen-files,,oprypin/mkdocs-gen-files,mkdocs-gen-files,['plugin'],code-exec-templating,{},4714.0,4714.0,6.0,https://pypi.org/project/mkdocs-gen-files,1471458.0,1471458.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
10,minify,,minify,,byrnereese/mkdocs-minify-plugin,mkdocs-minify-plugin,['plugin'],html-css,{},12623.0,12623.0,14.0,https://pypi.org/project/mkdocs-minify-plugin,1048672.0,1048672.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
11,mkdocs-redirects,,redirects,,mkdocs/mkdocs-redirects,mkdocs-redirects,['plugin'],links-refs,{},8053.0,8053.0,18.0,https://pypi.org/project/mkdocs-redirects,1677198.0,1677198.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
12,mike,,mike,,jimporter/mike,mike,['plugin'],site-management,{},6910.0,6910.0,9.0,https://pypi.org/project/mike,1642861.0,1642861.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
13,include-markdown,,include-markdown,,mondeja/mkdocs-include-markdown-plugin,mkdocs-include-markdown-plugin,['plugin'],snippets-include,{},4148.0,4148.0,18.0,https://pypi.org/project/mkdocs-include-markdown-plugin,720101.0,720101.0,,12,True,1.0,,,,,,,,,,,,,,,,,,
14,mkdocs-click,,,,mkdocs/mkdocs-click,mkdocs-click,['markdown'],api-docs,{},1282.0,1282.0,16.0,https://pypi.org/project/mkdocs-click,1099104.0,1099104.0,,11,True,1.0,mkdocs-click,,-10.0,,,,,,,,,,,,,,,
15,markdown-exec,,markdown-exec,{'plugins.markdown-exec.ansi': 'markdown-exec[ansi]'},pawamoy/markdown-exec,markdown-exec,['plugin'],code-exec-templating,{},880.0,880.0,6.0,https://pypi.org/project/markdown-exec,1056047.0,1056047.0,,11,True,2.0,,,,,,,,,,,,,,,,,,
16,static-i18n,,i18n,,ultrabug/mkdocs-static-i18n,mkdocs-static-i18n,['plugin'],i18n-l10n,{},2685.0,2685.0,14.0,https://pypi.org/project/mkdocs-static-i18n,685553.0,685553.0,,11,True,1.0,,,,,,,,,,,,,,,,,,
17,Math extension,,,,mitya57/python-markdown-math,python-markdown-math,['markdown'],markdown,{},4065.0,4065.0,8.0,https://pypi.org/project/python-markdown-math,421069.0,421069.0,,11,True,1.0,mdx_math,,-10.0,,,,,,,,,,,,,,,
18,literate-nav,,literate-nav,,oprypin/mkdocs-literate-nav,mkdocs-literate-nav,['plugin'],nav-pages,{},3812.0,3812.0,,https://pypi.org/project/mkdocs-literate-nav,1138376.0,1138376.0,,11,True,1.0,,,,,,,,,,,,,,,,,,
19,monorepo,,monorepo,,backstage/mkdocs-monorepo-plugin,mkdocs-monorepo-plugin,['plugin'],site-management,{},690.0,690.0,32.0,https://pypi.org/project/mkdocs-monorepo-plugin,1958118.0,1958118.0,,11,True,1.0,,,,,,,,,,,,,,,,,,
20,techdocs-core,,techdocs-core,,backstage/mkdocs-techdocs-core,mkdocs-techdocs-core,['plugin'],site-management,{},224.0,224.0,51.0,https://pypi.org/project/mkdocs-techdocs-core,822661.0,822661.0,,11,True,1.0,,,,,,,,,,,,,,,,,,
21,Markdown-Include,,,,cmacmackin/markdown-include,markdown-include,['markdown'],snippets-include,{},8054.0,8054.0,12.0,https://pypi.org/project/markdown-include,263257.0,263257.0,,11,True,2.0,markdown_include.include,,-10.0,,,,,,,,,,,,,,,
22,Cinder,cinder,,,chrissimpkins/cinder,mkdocs-cinder,['theme'],theming,{},710.0,710.0,23.0,https://pypi.org/project/mkdocs-cinder,6586.0,6586.0,,10,True,1.0,,MIT,,,,,,,,,,,,,,,,
23,Windmill,windmill,,,gristlabs/mkdocs-windmill,mkdocs-windmill,['theme'],theming,{},367.0,367.0,8.0,https://pypi.org/project/mkdocs-windmill,8534.0,8534.0,,10,True,1.0,,MIT,,,,,,,,,,,,,,,,
24,MkDocs Video,,mkdocs-video,,soulless-viewer/mkdocs-video,mkdocs-video,['plugin'],charts,{},1169.0,1169.0,5.0,https://pypi.org/project/mkdocs-video,143051.0,143051.0,,10,True,1.0,,,,,,,,,,,,,,,,,,
25,markdownextradata,,markdownextradata,,rosscdh/mkdocs-markdownextradata-plugin,mkdocs-markdownextradata-plugin,['plugin'],code-exec-templating,{},1669.0,1669.0,12.0,https://pypi.org/project/mkdocs-markdownextradata-plugin,111692.0,111692.0,,10,True,2.0,,,-10.0,,,,,,,,,,,,,,,
26,git-revision-date,,git-revision-date,,zhaoterryy/mkdocs-git-revision-date-plugin,mkdocs-git-revision-date-plugin,['plugin'],git-info,{},3042.0,3042.0,7.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,144237.0,144237.0,,10,True,1.0,,,-10.0,,,,,,,,,,,,,,,
